date,strategy
2016-01-04,1.0
2016-01-05,1.0037983118613951
2016-01-06,1.00759662372279
2016-01-07,1.0175921812527766
2016-01-08,1.017392270102177
2016-01-11,1.0191914704575744
2016-01-12,1.0133940470901823
2016-01-13,1.009795646379387
2016-01-14,1.0131941359395826
2016-01-15,1.010595290981786
2016-01-18,1.0123944913371836
2016-01-19,1.011994669035984
2016-01-20,1.0155930697467794
2016-01-21,1.0197912039093737
2016-01-22,1.0167925366503776
2016-01-25,1.0175921812527766
2016-01-26,1.025588627276766
2016-01-27,1.024788982674367
2016-01-28,1.0219902265659708
2016-01-29,1.0223900488671702
2016-02-01,1.0263882718791648
2016-02-02,1.0275877387827632
2016-02-03,1.0295868502887606
2016-02-04,1.0339848956019546
2016-02-05,1.0399822301199468
2016-02-15,1.0591737005775212
2016-02-16,1.0521768103065305
2016-02-17,1.056374944469125
2016-02-18,1.0571745890715238
2016-02-19,1.064571301643714
2016-02-22,1.060772989782319
2016-02-23,1.0611728120835187
2016-02-24,1.065171035095513
2016-02-25,1.0725677476677034
2016-02-26,1.0721679253665037
2016-02-29,1.0671701466015104
2016-03-01,1.0749666814749002
2016-03-02,1.0687694358063085
2016-03-03,1.0731674811195027
2016-03-04,1.0799644602398935
2016-03-07,1.0795646379386938
2016-03-08,1.0821634828964906
2016-03-09,1.076565970679698
2016-03-10,1.0733673922701024
2016-03-11,1.0799644602398935
2016-03-14,1.0745668591737005
2016-03-15,1.0641714793425145
2016-03-16,1.0679697912039094
2016-03-17,1.0731674811195027
2016-03-18,1.0731674811195027
2016-03-21,1.0649711239449133
2016-03-22,1.0691692581075078
2016-03-23,1.0637716570413152
2016-03-24,1.0565748556197248
2016-03-25,1.0595735228787206
2016-03-28,1.0579742336739226
2016-03-29,1.0591737005775212
2016-03-30,1.0637716570413152
2016-03-31,1.059373611728121
2016-04-01,1.0625721901377165
2016-04-05,1.0601732563305197
2016-04-06,1.0605730786317191
2016-04-07,1.0603731674811194
2016-04-08,1.0637716570413152
2016-04-11,1.068369613505109
2016-04-12,1.0711683696135053
2016-04-13,1.0665704131497113
2016-04-14,1.0623722789871168
2016-04-15,1.0621723678365171
2016-04-18,1.0625721901377165
2016-04-19,1.0673700577521101
2016-04-20,1.0685695246557088
2016-04-21,1.0749666814749002
2016-04-22,1.0681697023545094
2016-04-25,1.0653709462461127
2016-04-26,1.0643713904931142
2016-04-27,1.0699689027099066
2016-04-28,1.0723678365171034
2016-04-29,1.081763660595291
2016-05-03,1.09015992892048
2016-05-04,1.0851621501554867
2016-05-05,1.084762327854287
2016-05-06,1.0857618836072858
2016-05-09,1.0837627721012884
2016-05-10,1.0811639271434919
2016-05-11,1.0835628609506887
2016-05-12,1.081763660595291
2016-05-13,1.0861617059084852
2016-05-16,1.0887605508662817
2016-05-17,1.0861617059084852
2016-05-18,1.0859617947578855
2016-05-19,1.0777654375832966
2016-05-20,1.077365615282097
2016-05-23,1.0767658818302976
2016-05-24,1.0743669480231008
2016-05-25,1.0659706796979123
2016-05-26,1.0679697912039094
2016-05-27,1.0657707685473126
2016-05-30,1.0605730786317191
2016-05-31,1.0649711239449133
2016-06-01,1.0655708573967126
2016-06-02,1.0659706796979123
2016-06-03,1.064571301643714
2016-06-06,1.0739671257219014
2016-06-07,1.0747667703243002
2016-06-08,1.0789649044868947
2016-06-13,1.0945579742336742
2016-06-14,1.0931585961794759
2016-06-15,1.0957574411372724
2016-06-16,1.1051532652154599
2016-06-17,1.0927587738782765
2016-06-20,1.0931585961794759
2016-06-21,1.0921590404264774
2016-06-22,1.084762327854287
2016-06-23,1.0859617947578855
2016-06-24,1.1107507774322525
2016-06-27,1.1153487338960462
2016-06-28,1.1131497112394493
2016-06-29,1.1157485561972458
2016-06-30,1.113349622390049
2016-07-01,1.1213460684140384
2016-07-04,1.1295424255886273
2016-07-05,1.1277432252332298
2016-07-06,1.1391381608174145
2016-07-07,1.1369391381608174
2016-07-08,1.1329409151488228
2016-07-11,1.138138605064416
2016-07-12,1.133540648600622
2016-07-13,1.1281430475344292
2016-07-14,1.1241448245224346
2016-07-15,1.1247445579742337
2016-07-18,1.1227454464682365
2016-07-19,1.1237450022212352
2016-07-20,1.1213460684140384
2016-07-21,1.1157485561972458
2016-07-22,1.118547312305642
2016-07-25,1.1157485561972458
2016-07-26,1.1165482007996448
2016-07-27,1.1169480231008442
2016-07-28,1.1249444691248334
2016-07-29,1.121545979564638
2016-08-01,1.125144380275433
2016-08-02,1.1287427809862285
2016-08-03,1.1321412705464238
2016-08-04,1.125944024877832
2016-08-05,1.1333407374500224
2016-08-08,1.1211461572634387
2016-08-09,1.120746334962239
2016-08-10,1.1289426921368282
2016-08-11,1.1239449133718349
2016-08-12,1.1237450022212352
