code,entry,exit,invested,exit_value,etf_ret,reason,days,contrib_pct
白酒 (512690),2020-11-03,2021-02-25,0.55,0.7594901854599407,0.38130563798219574,trail,114,20.94901854599407
新能源车 (515030),2021-02-25,2022-01-10,0.7593251854599408,1.0200371149964067,0.3437499999999998,trend,319,26.071192953646595
煤炭 (515220),2022-01-10,2022-04-27,1.0198093174407687,1.0591438460776839,0.03888213851761857,trail,107,3.933452863691511
红利低波 (512890),2022-04-27,2022-07-18,1.0588379032824515,1.071801559965563,0.012547051442910906,trend,82,1.2963656683111502
煤炭 (515220),2022-07-18,2022-11-01,1.0714839085945782,1.0241906108791858,-0.04385128693994289,trend,106,-4.729329771539237
黄金 (518880),2022-11-01,2025-12-30,1.0238691657066075,2.4922444616492476,1.4348739495798322,换 518880,1155,146.83752959426403
5G通信 (515050),2025-12-30,2026-07-20,2.4919373008995356,3.5351478137388663,0.4190600522193211,trail,202,104.32105128393307
纳指ETF (513100),2026-07-20,2026-08-04,3.5344002325485966,3.675880915117988,0.0403417180825818,持有中,15,14.148068256939128
