code,name,industry,quality_score,pe_percentile,pb_percentile,pe,pb,cash_gap,profit_gap,cfo_net_rate,ar_op_ratio,report_date
600600,青岛啤酒,C15酒、饮料和精制茶制造业,0.24846999455672236,2.3,2.3,15.95,2.3,-0.06963751037892574,0.07909665442899949,-0.12231390101275236,0.038495878907002325,20260331
600754,锦江酒店,H61住宿业,0.24610902724600184,19.7,2.4,20.06,1.28,-2.7848041923240974,1.5521221903793663,-0.899519196572121,0.3287128177731973,20260331
600927,永安期货,J67资本市场服务,0.2454913110385467,3.8,15.6,23.9,1.45,-4.822120493773355,7.065328392440438,,,20260331
002461,珠江啤酒,C15酒、饮料和精制茶制造业,0.23989201532823312,2.7,16.7,21.42,1.77,-0.2080357305366467,0.08262672609592014,-0.2242304080668842,0.12603752778790334,20260331
601108,财通证券,J67资本市场服务,0.23694779116465864,9.5,29.3,13.37,1.04,,0.8299787611828384,,,20260331
600906,财达证券,J67资本市场服务,0.23393574297188754,11.4,8.9,24.13,1.7,,0.7353608730544894,,,20260331
603233,大参林,F52零售业,0.23336529250363433,8.9,24.2,16.46,2.76,-0.06370066284145581,0.08925870946068448,-0.063317981320247,1.2329370808982911,20260331
601066,中信建投,J67资本市场服务,0.23092369477911648,8.0,18.3,17.8,2.32,,0.596202594452347,,,20260331
688111,金山办公,I65软件和信息技术服务业,0.23080689067699592,5.7,7.7,35.09,8.42,-4.241017038941588,4.468248988484536,-0.11415694766235632,9.040022627460248,20260331
001286,陕西能源,D44电力、热力生产和供应业,0.23054078930308422,15.7,33.9,12.06,1.4,-0.1299379509847689,0.19700776337411874,-0.07048058269364436,2.422744991344825,20260331
601377,兴业证券,J67资本市场服务,0.22690763052208834,32.2,16.2,16.53,0.92,,0.5284698376777286,,,20260331
600816,建元信托,J69其他金融业,0.22590361445783133,47.0,35.3,23.0,1.67,,0.4455117979978459,,,20260331
601880,辽港股份,G55水上运输业,0.22567257214362652,20.4,17.2,24.51,0.88,-0.8452165714698158,0.6669801363295949,-0.38410185681873743,1.862709620666951,20260331
