window,start,end,annual,sharpe,dd,nd_annual,alpha
252,2015-01-05,2016-01-13,29.66,1.56,12.32,-2.73,32.39
252,2015-04-10,2016-04-19,4.15,0.55,0.8,-1.12,5.2700000000000005
252,2015-07-10,2016-07-20,0.0,-1.1597185281793414e+17,0.0,1.85,-1.85
252,2015-10-16,2016-10-26,4.68,0.43,4.49,7.47,-2.79
252,2016-01-14,2017-01-24,2.71,0.06,9.12,21.46,-18.75
252,2016-04-20,2017-05-03,10.19,0.87,9.12,22.82,-12.63
252,2016-07-21,2017-08-02,18.98,1.58,9.12,25.51,-6.530000000000001
252,2016-10-27,2017-11-06,15.88,1.38,6.31,30.25,-14.37
252,2017-01-25,2018-02-02,25.56,2.33,5.12,28.43,-2.870000000000001
252,2017-05-04,2018-05-15,20.46,1.38,10.41,21.1,-0.6400000000000006
252,2017-08-03,2018-08-13,13.91,0.83,10.41,23.44,-9.530000000000001
252,2017-11-07,2018-11-16,9.91,0.44,20.8,7.12,2.79
252,2018-02-05,2019-02-22,4.69,0.2,24.2,7.31,-2.619999999999999
252,2018-05-16,2019-05-28,1.02,0.01,24.2,2.84,-1.8199999999999998
252,2018-08-14,2019-08-26,21.87,0.98,24.2,-0.22,22.09
252,2018-11-19,2019-11-29,12.99,0.77,9.31,23.39,-10.4
252,2019-02-25,2020-03-06,29.11,1.58,9.31,13.57,15.54
252,2019-05-29,2020-06-09,46.44,1.91,12.62,32.03,14.409999999999997
252,2019-08-27,2020-09-08,51.49,1.6,12.62,38.77,12.719999999999999
252,2019-12-02,2020-12-14,126.42,2.6,15.37,45.41,81.01
252,2020-03-09,2021-03-19,111.19,2.27,15.37,66.55,44.64
252,2020-06-10,2021-06-23,88.57,1.99,15.37,42.63,45.93999999999999
252,2020-09-09,2021-09-22,43.55,1.15,25.82,33.86,9.689999999999998
252,2020-12-15,2021-12-27,-11.91,-0.33,30.06,26.13,-38.04
252,2021-03-22,2022-04-01,28.01,0.77,29.2,6.63,21.380000000000003
252,2021-06-24,2022-07-07,17.31,0.55,26.08,-19.19,36.5
252,2021-09-23,2022-10-12,19.63,0.64,24.56,-30.9,50.53
252,2021-12-28,2023-01-10,40.58,1.17,26.31,-32.03,72.61
252,2022-04-06,2023-04-17,-9.54,-0.51,17.13,-12.51,2.9700000000000006
252,2022-07-08,2023-07-20,-16.68,-0.49,21.8,20.96,-37.64
252,2022-10-13,2023-10-25,-13.7,-0.4,27.24,20.49,-34.19
252,2023-01-11,2024-01-23,-6.69,-0.16,28.65,41.31,-48.0
252,2023-04-18,2024-05-06,0.51,0.08,28.65,34.68,-34.17
252,2023-07-21,2024-08-02,20.28,1.0,12.04,19.63,0.6500000000000021
252,2023-10-26,2024-11-08,42.41,1.92,15.66,53.38,-10.970000000000006
252,2024-01-24,2025-02-14,27.6,1.31,15.66,29.49,-1.889999999999997
252,2024-05-07,2025-05-20,0.08,-0.01,26.02,17.28,-17.200000000000003
252,2024-08-05,2025-08-18,13.99,0.66,26.02,33.67,-19.68
252,2024-11-11,2025-11-21,9.4,0.38,26.02,15.48,-6.08
252,2025-02-17,2026-03-02,25.84,0.86,24.46,13.65,12.19
252,2025-05-21,2026-06-03,113.37,2.41,15.37,42.49,70.88
504,2015-01-05,2017-01-24,15.37,1.01,12.32,9.74,5.629999999999999
504,2015-04-10,2017-05-03,7.12,0.71,9.12,10.27,-3.1499999999999995
504,2015-07-10,2017-08-02,9.06,0.93,9.12,12.86,-3.799999999999999
504,2015-10-16,2017-11-06,9.66,0.94,9.12,17.88,-8.219999999999999
504,2016-01-14,2018-02-02,13.57,1.27,9.12,25.46,-11.89
504,2016-04-20,2018-05-15,14.76,1.11,10.41,21.94,-7.1800000000000015
504,2016-07-21,2018-08-13,15.99,1.09,10.41,24.2,-8.209999999999999
504,2016-10-27,2018-11-16,13.64,0.73,20.8,17.92,-4.280000000000001
504,2017-01-25,2019-02-22,13.8,0.74,24.2,15.39,-1.5899999999999999
504,2017-05-04,2019-05-28,10.2,0.54,24.2,11.93,-1.7300000000000004
504,2017-08-03,2019-08-26,17.78,0.9,24.2,11.32,6.460000000000001
504,2017-11-07,2019-11-29,11.62,0.58,24.2,13.18,-1.5600000000000005
504,2018-02-05,2020-03-06,16.18,0.78,24.2,10.57,5.609999999999999
504,2018-05-16,2020-06-09,21.73,0.99,24.2,16.03,5.699999999999999
