window,start,end,annual,sharpe,dd,nd_annual,alpha
504,2018-08-14,2020-09-08,35.83,1.32,24.2,17.43,18.4
504,2018-11-19,2020-12-14,59.9,1.9,15.37,33.11,26.79
504,2019-02-25,2021-03-19,64.35,1.9,15.37,32.34,32.00999999999999
504,2019-05-29,2021-06-23,67.65,1.93,15.37,37.6,30.050000000000004
504,2019-08-27,2021-09-22,45.06,1.28,25.82,38.05,7.010000000000005
504,2019-12-02,2021-12-27,40.55,1.15,30.06,36.19,4.359999999999999
504,2020-03-09,2022-04-01,64.77,1.49,30.06,34.01,30.759999999999998
504,2020-06-10,2022-07-07,48.68,1.23,30.06,7.71,40.97
504,2020-09-09,2022-10-12,30.97,0.9,30.06,-3.31,34.28
504,2020-12-15,2023-01-10,12.73,0.46,30.06,-7.66,20.39
504,2021-03-22,2023-04-17,7.36,0.3,29.2,-4.68,12.04
504,2021-06-24,2023-07-20,-0.03,0.1,30.07,-1.07,1.04
504,2021-09-23,2023-10-25,0.75,0.1,34.93,-7.72,8.469999999999999
504,2021-12-28,2024-01-23,14.29,0.51,36.19,-1.14,15.43
504,2022-04-06,2024-05-06,-4.62,-0.16,28.65,8.51,-13.129999999999999
504,2022-07-08,2024-08-02,-0.16,0.03,28.65,20.12,-20.28
504,2022-10-13,2024-11-08,9.45,0.38,28.65,34.66,-25.209999999999997
504,2023-01-11,2025-02-14,9.34,0.38,28.65,35.43,-26.09
504,2023-04-18,2025-05-20,0.74,0.06,28.65,25.56,-24.82
504,2023-07-21,2025-08-18,12.84,0.61,26.02,24.21,-11.370000000000001
504,2023-10-26,2025-11-21,25.45,1.01,26.02,33.05,-7.599999999999998
504,2024-01-24,2026-03-02,26.42,1.0,26.02,21.26,5.16
504,2024-05-07,2026-06-03,45.92,1.42,26.02,28.29,17.630000000000003
756,2015-01-05,2018-02-02,18.66,1.34,12.32,16.0,2.66
756,2015-04-10,2018-05-15,11.1,0.95,10.41,13.76,-2.66
756,2015-07-10,2018-08-13,10.39,0.81,10.41,16.12,-5.73
756,2015-10-16,2018-11-16,10.25,0.62,20.8,14.06,-3.8100000000000005
756,2016-01-14,2019-02-22,9.99,0.59,24.2,17.74,-7.749999999999998
756,2016-04-20,2019-05-28,9.92,0.57,24.2,15.44,-5.52
756,2016-07-21,2019-08-26,17.89,1.01,24.2,15.7,2.1900000000000013
756,2016-10-27,2019-11-29,13.54,0.75,24.2,18.46,-4.920000000000002
756,2017-01-25,2020-03-06,18.63,1.01,24.2,14.9,3.7299999999999986
756,2017-05-04,2020-06-09,21.21,1.06,24.2,17.91,3.3000000000000007
756,2017-08-03,2020-09-08,28.05,1.18,24.2,19.63,8.420000000000002
756,2017-11-07,2020-12-14,41.25,1.48,24.2,22.53,18.72
756,2018-02-05,2021-03-19,41.34,1.42,24.2,23.53,17.810000000000002
756,2018-05-16,2021-06-23,41.69,1.43,24.2,24.52,17.169999999999998
756,2018-08-14,2021-09-22,36.86,1.18,25.82,23.73,13.129999999999999
756,2018-11-19,2021-12-27,30.71,1.03,30.06,31.24,-0.5299999999999976
756,2019-02-25,2022-04-01,51.46,1.42,30.06,23.63,27.830000000000002
756,2019-05-29,2022-07-07,48.83,1.36,30.06,15.5,33.33
756,2019-08-27,2022-10-12,35.99,1.06,30.06,10.01,25.980000000000004
756,2019-12-02,2023-01-10,41.74,1.18,30.06,7.84,33.900000000000006
756,2020-03-09,2023-04-17,34.7,1.02,30.06,15.23,19.470000000000002
756,2020-06-10,2023-07-20,23.49,0.71,30.07,11.98,11.509999999999998
756,2020-09-09,2023-10-25,13.33,0.47,34.93,4.8,8.530000000000001
756,2020-12-15,2024-01-23,5.72,0.25,36.19,7.0,-1.2800000000000002
756,2021-03-22,2024-05-06,5.04,0.23,36.19,6.92,-1.88
756,2021-06-24,2024-08-02,6.13,0.26,36.19,5.3,0.8300000000000001
756,2021-09-23,2024-11-08,12.09,0.46,36.19,8.63,3.459999999999999
756,2021-12-28,2025-02-14,18.71,0.68,36.19,8.28,10.430000000000001
756,2022-04-06,2025-05-20,-2.78,-0.1,28.65,11.3,-14.08
756,2022-07-08,2025-08-18,1.82,0.09,28.65,22.99,-21.169999999999998
756,2022-10-13,2025-11-21,9.82,0.4,28.65,27.93,-18.11
756,2023-01-11,2026-03-02,14.42,0.55,28.65,27.71,-13.290000000000001
756,2023-04-18,2026-06-03,29.22,0.96,28.65,30.29,-1.0700000000000003
1008,2015-01-05,2019-02-22,14.58,0.85,24.2,12.8,1.7799999999999994
1008,2015-04-10,2019-05-28,8.44,0.53,24.2,11.1,-2.66
1008,2015-07-10,2019-08-26,13.13,0.82,24.2,11.98,1.1500000000000004
1008,2015-10-16,2019-11-29,11.02,0.66,24.2,15.41,-4.390000000000001
1008,2016-01-14,2020-03-06,14.44,0.85,24.2,16.77,-2.33
1008,2016-04-20,2020-06-09,18.12,0.99,24.2,19.11,-0.9899999999999984
1008,2016-07-21,2020-09-08,25.49,1.18,24.2,20.94,4.549999999999997
1008,2016-10-27,2020-12-14,34.88,1.41,24.2,24.3,10.580000000000002
1008,2017-01-25,2021-03-19,36.7,1.42,24.2,23.66,13.040000000000003
1008,2017-05-04,2021-06-23,35.96,1.37,24.2,23.83,12.130000000000003
1008,2017-08-03,2021-09-22,30.69,1.1,25.82,23.83,6.860000000000003
1008,2017-11-07,2021-12-27,25.27,0.91,30.06,23.78,1.4899999999999984
1008,2018-02-05,2022-04-01,38.06,1.18,30.06,19.42,18.64
1008,2018-05-16,2022-07-07,35.16,1.12,30.06,11.96,23.199999999999996
1008,2018-08-14,2022-10-12,32.3,1.03,30.06,7.27,25.029999999999998
1008,2018-11-19,2023-01-10,33.95,1.09,30.06,11.2,22.750000000000004
1008,2019-02-25,2023-04-17,33.0,1.05,30.06,12.65,20.35
1008,2019-05-29,2023-07-20,29.46,0.9,30.07,16.85,12.61
1008,2019-08-27,2023-10-25,20.87,0.68,34.93,13.15,7.720000000000001
1008,2019-12-02,2024-01-23,27.55,0.85,36.19,15.85,11.700000000000001
1008,2020-03-09,2024-05-06,25.2,0.8,36.19,19.77,5.43
1008,2020-06-10,2024-08-02,22.5,0.73,36.19,13.76,8.74
1008,2020-09-09,2024-11-08,19.2,0.66,36.19,14.72,4.479999999999999
1008,2020-12-15,2025-02-14,10.91,0.42,36.19,12.31,-1.4000000000000004
1008,2021-03-22,2025-05-20,4.01,0.19,36.19,9.38,-5.370000000000001
1008,2021-06-24,2025-08-18,6.07,0.26,36.19,10.78,-4.709999999999999
1008,2021-09-23,2025-11-21,11.71,0.45,36.19,10.3,1.4100000000000001
1008,2021-12-28,2026-03-02,20.32,0.72,36.19,9.58,10.74
1008,2022-04-06,2026-06-03,18.22,0.67,28.65,17.94,0.2799999999999976
1260,2015-01-05,2020-03-06,17.31,1.01,24.2,13.02,4.289999999999999
1260,2015-04-10,2020-06-09,15.18,0.91,24.2,14.79,0.39000000000000057
1260,2015-07-10,2020-09-08,19.91,1.03,24.2,16.78,3.129999999999999
1260,2015-10-16,2020-12-14,27.99,1.27,24.2,20.57,7.419999999999998
1260,2016-01-14,2021-03-19,29.11,1.26,24.2,23.44,5.669999999999998
1260,2016-04-20,2021-06-23,30.16,1.27,24.2,23.62,6.539999999999999
1260,2016-07-21,2021-09-22,28.07,1.09,25.82,24.06,4.010000000000002
1260,2016-10-27,2021-12-27,23.67,0.92,30.06,24.95,-1.2799999999999976
1260,2017-01-25,2022-04-01,35.05,1.19,30.06,20.33,14.719999999999999
1260,2017-05-04,2022-07-07,32.01,1.1,30.06,13.86,18.15
1260,2017-08-03,2022-10-12,28.38,0.98,30.06,10.45,17.93
1260,2017-11-07,2023-01-10,28.83,0.98,30.06,9.69,19.14
1260,2018-02-05,2023-04-17,26.76,0.92,30.06,11.63,15.13
1260,2018-05-16,2023-07-20,23.25,0.78,30.07,13.72,9.53
1260,2018-08-14,2023-10-25,21.06,0.71,34.93,10.26,10.799999999999999
1260,2018-11-19,2024-01-23,24.51,0.82,36.19,17.04,7.470000000000002
1260,2019-02-25,2024-05-06,25.76,0.85,36.19,16.71,9.05
1260,2019-05-29,2024-08-02,27.42,0.89,36.19,17.34,10.080000000000002
1260,2019-08-27,2024-11-08,24.24,0.81,36.19,19.78,4.459999999999997
1260,2019-12-02,2025-02-14,27.65,0.9,36.19,18.52,9.129999999999999
1260,2020-03-09,2025-05-20,19.92,0.68,36.19,19.23,0.6900000000000013
1260,2020-06-10,2025-08-18,18.98,0.66,36.19,16.65,2.330000000000002
1260,2020-09-09,2025-11-21,17.42,0.61,36.19,14.87,2.5500000000000025
1260,2020-12-15,2026-03-02,13.65,0.51,36.19,12.56,1.0899999999999999
1260,2021-03-22,2026-06-03,19.99,0.69,36.19,14.97,5.019999999999998
