date,nav
2015-01-05,1.0
2015-01-06,1.0
2015-01-07,1.0
2015-01-08,1.0
2015-01-09,1.0
2015-01-12,1.0
2015-01-13,1.0
2015-01-14,1.0
2015-01-15,1.0
2015-01-16,1.0
2015-01-19,1.0
2015-01-20,1.0
2015-01-21,1.0
2015-01-22,1.0
2015-01-23,1.0
2015-01-26,1.0
2015-01-27,1.0
2015-01-28,1.0
2015-01-29,1.0
2015-01-30,1.0
2015-02-02,1.0
2015-02-03,1.0278442392260334
2015-02-04,1.011133597185576
2015-02-05,0.9785918205804749
2015-02-06,0.9249418645558488
2015-02-09,0.9258213720316623
2015-02-10,0.9185095866314863
2015-02-11,0.9124520489475647
2015-02-12,0.9165820380960876
2015-02-13,0.9388839794981111
2015-02-16,0.9463179599654522
2015-02-17,0.9653159100486575
2015-02-25,0.9699807327919141
2015-02-26,1.033570618721284
2015-02-27,1.033570618721284
2015-03-02,1.0537435282420864
2015-03-03,1.0268463155476835
2015-03-04,1.0293679292377838
2015-03-05,1.0265381743547533
2015-03-06,1.0237111008181408
2015-03-09,1.0027185001155894
2015-03-10,0.993901607820518
2015-03-11,0.9943214598345691
2015-03-12,0.995581015876722
2015-03-13,0.9936033449497361
2015-03-16,1.0004716860354093
2015-03-17,0.9937268181867899
2015-03-18,0.9865603960976318
2015-03-19,0.9958345893894833
2015-03-20,0.992040601224635
2015-03-23,0.9980643162339649
2015-03-24,0.9990229612032552
2015-03-25,0.9981842516938148
2015-03-26,1.0078294110523784
2015-03-27,1.0086681205618186
2015-03-30,0.9977648969390946
2015-03-31,0.9928539592129935
2015-04-01,0.9946542728460516
2015-04-02,1.005564755914326
2015-04-03,1.0034665860935044
2015-04-07,1.0097610955559704
2015-04-08,1.0101807295201346
2015-04-09,1.0048434890567206
2015-04-10,1.0080678026382728
2015-04-13,1.0080678026382728
2015-04-14,1.0045420360100037
2015-04-15,1.0080678026382728
2015-04-16,1.0151193358948112
2015-04-17,1.0148147096581288
2015-04-20,1.0109369740140408
2015-04-21,1.0216568477076127
2015-04-22,1.0252301389388032
2015-04-23,1.0288034301699938
2015-04-24,1.0430965950947562
2015-04-27,1.0499280132705464
2015-04-28,1.0504894355454224
2015-04-29,1.056186039957992
2015-04-30,1.055309639279135
2015-05-04,1.0447928311328525
2015-05-05,1.0430400297751388
2015-05-06,1.0453554365486446
2015-05-07,1.0353788805042052
2015-05-08,1.0402103552109427
2015-05-11,1.0437241549976608
2015-05-12,1.043284930024321
2015-05-13,1.046798729811039
2015-05-14,1.0579010194621485
2015-05-15,1.0539853463690236
2015-05-18,1.0503870435817375
2015-05-19,1.0503870435817375
2015-05-20,1.0467887407944514
2015-05-21,1.0503870435817375
2015-05-22,1.0500718322575713
2015-05-25,1.0549832155138215
2015-05-26,1.0493212769740667
2015-05-27,1.0423527372328303
2015-05-28,1.0410461360313485
2015-05-29,1.0366907986930756
2015-06-01,1.037250503094417
2015-06-02,1.035632967108357
2015-06-03,1.0317138846029625
2015-06-04,1.028665709320989
2015-06-05,1.0308429773795416
2015-06-08,1.0312784309912522
2015-06-09,1.0300983081581554
2015-06-10,1.031094301860165
2015-06-11,1.031094301860165
2015-06-12,1.0328343327861078
2015-06-15,1.0315293095916507
2015-06-16,1.029789278665708
2015-06-17,1.0290453719440944
2015-06-18,1.0265610867216357
2015-06-19,1.028301544010336
2015-06-23,1.0239504007885851
2015-06-24,1.027866429688161
2015-06-25,1.0261259723994607
2015-06-26,1.0253830582057788
2015-06-29,0.959566149583281
2015-06-30,1.055739368001313
2015-07-01,0.9479510265859342
2015-07-02,0.8768664738421715
2015-07-03,0.7741887865456255
2015-07-06,0.9105093059200509
2015-07-07,0.8558620762676973
2015-07-08,0.7050509574279817
2015-07-09,0.840986149579426
2015-07-10,0.9902583794513893
2015-07-13,1.0872083844197777
2015-07-14,1.0545751666363152
2015-07-15,0.9754120526555718
2015-07-16,0.9989565657216993
2015-07-17,1.0756131198904866
2015-07-20,1.0684950112890992
2015-07-21,1.0854689625693308
2015-07-22,1.0829536967630082
2015-07-23,1.1311521942156622
2015-07-24,1.0947596565444
2015-07-27,0.9276848245081519
2015-07-28,0.9354044537111469
2015-07-29,1.0037783123662452
2015-07-30,1.0095406847250294
2015-07-31,1.0197599605190621
2015-08-03,1.067109581516588
2015-08-04,1.1010142484037055
2015-08-05,1.061848512516863
2015-08-06,1.0443116158511125
2015-08-07,1.0475045586270457
2015-08-10,1.0495818701786974
2015-08-11,1.0763673748741835
2015-08-12,1.1127191312466291
2015-08-13,1.1069793802404535
2015-08-14,1.099326378898886
2015-08-17,1.097083810349515
2015-08-18,1.0445125989992905
2015-08-19,1.0934895548184653
2015-08-20,1.0608382509390155
2015-08-21,1.0216566862836756
2015-08-24,0.920437644257381
2015-08-25,0.8973123582847609
2015-08-26,0.838340486932478
2015-08-27,0.9549834697851273
2015-08-28,1.0479929070924687
2015-08-31,1.0403691827230146
2015-09-01,1.0342702032274511
2015-09-02,1.0019498049493685
2015-09-07,0.959407253379101
2015-09-08,1.0164709626846495
2015-09-09,1.0572307550457556
2015-09-10,1.0186942240861643
2015-09-11,1.0157298755508113
2015-09-14,1.0198702552588523
2015-09-15,0.9652036680069819
2015-09-16,1.0787930361344595
2015-09-17,1.0163188836643466
2015-09-18,1.0171302362938288
2015-09-21,1.0422821678077703
2015-09-22,1.0427805005927981
2015-09-23,1.0327898891749376
2015-09-24,1.0344028520528847
2015-09-25,1.0029500759329164
2015-09-28,0.9973047058601017
2015-09-29,0.9714972998129481
2015-09-30,0.9768494332345521
2015-10-08,0.9682459810607457
2015-10-09,0.9856222664160392
2015-10-12,1.0483279918286206
2015-10-13,1.0460615198257566
2015-10-14,1.0324626878085699
2015-10-15,1.0268660129428304
2015-10-16,1.037036177760813
2015-10-19,1.037036177760813
2015-10-20,1.0440216608420567
2015-10-21,1.0405289193014349
2015-10-22,1.037036177760813
2015-10-23,1.054183443080342
2015-10-26,1.0404380996005345
2015-10-27,1.033723555377093
2015-10-28,1.0437953717122554
2015-10-29,1.0471526438239762
2015-10-30,1.053867188047418
2015-11-02,1.0501946680844065
2015-11-03,1.0462815123200948
2015-11-04,1.0345876958874634
2015-11-05,1.0255924524777467
2015-11-06,1.0260422146482324
2015-11-09,1.011649825192686
2015-11-10,1.0113462357276082
2015-11-11,1.0110428318568898
2015-11-12,1.008344709396078
2015-11-13,1.0024987773976524
2015-11-16,1.0159893897017112
2015-11-17,1.0007000290904446
2015-11-18,0.9914086846469778
2015-11-19,0.9920048255248168
2015-11-20,0.9978129881658311
2015-11-23,0.9879837898502686
2015-11-24,0.9879837898502686
2015-11-25,0.9942387342328992
2015-11-26,0.9881339531936258
2015-11-27,0.9833784247712344
2015-11-30,0.9731225218274376
2015-12-01,0.9878375130076679
2015-12-02,0.9842702424185211
2015-12-03,0.9726766130037944
2015-12-04,0.9795171219037774
2015-12-07,0.97966074650008
2015-12-08,0.9730985505069774
2015-12-09,0.9757234289042183
2015-12-10,0.9752859491713448
2015-12-11,0.9752859491713448
2015-12-14,0.9776173661637744
2015-12-15,0.9664758464729956
2015-12-16,0.9613707949525581
2015-12-17,0.995829892715511
2015-12-18,0.9964680241555658
2015-12-21,1.0443278821596669
2015-12-22,1.0484800758138149
2015-12-23,1.0481655317910707
2015-12-24,1.0548014816379936
2015-12-25,1.0481655317910707
2015-12-28,1.0448475568676092
2015-12-29,1.0481655317910707
2015-12-30,1.061118905892264
2015-12-31,1.0528021865077406
2016-01-04,0.9681526255477422
2016-01-05,0.9414913465052229
2016-01-06,0.970152221475931
2016-01-07,0.8808369366834918
2016-01-08,0.883904250184136
2016-01-11,0.8291743032852624
2016-01-12,0.79898900595158
2016-01-13,0.7852087615166381
2016-01-14,0.8022700165313281
2016-01-15,0.7497738472553587
2016-01-18,0.7456128040179106
2016-01-19,0.7879394557879117
2016-01-20,0.7617546338733231
2016-01-21,0.7290236064800875
2016-01-22,0.7375336736023287
2016-01-25,0.7466983612724347
2016-01-26,0.7464742846589006
2016-01-27,0.7320956403689929
2016-01-28,0.7090011265721606
2016-01-29,0.7425254207933688
2016-02-01,0.7149610011003754
2016-02-02,0.7440153894254224
2016-02-03,0.7333654661356607
2016-02-04,0.7442123397876056
2016-02-05,0.7442123397876056
2016-02-15,0.7301942876180105
2016-02-16,0.7715106519073435
2016-02-17,0.7855287040769385
2016-02-18,0.794143830044262
2016-02-19,0.7946484716754586
2016-02-22,0.8258496324442697
2016-02-23,0.810249052059864
2016-02-24,0.8169350150817521
2016-02-25,0.7485896153024517
2016-02-26,0.7505929526892434
2016-02-29,0.7204039842769199
2016-03-01,0.736884069066504
2016-03-02,0.8155390191986104
2016-03-03,0.8147899244354476
2016-03-04,0.8365136725671721
2016-03-07,0.8504911815719816
2016-03-08,0.8440506438060773
2016-03-09,0.8440506438060773
2016-03-10,0.8409579486003611
2016-03-11,0.8378652533946448
2016-03-14,0.8440506438060773
2016-03-15,0.853072654260193
2016-03-16,0.8528167324639149
2016-03-17,0.8590208972221708
2016-03-18,0.8683271443595547
2016-03-21,0.8807354738760664
2016-03-22,0.8776333914969385
2016-03-23,0.8618642659308795
2016-03-24,0.8619459610000662
2016-03-25,0.8670497762345563
2016-03-28,0.8643277414428282
2016-03-29,0.8663692675366244
2016-03-30,0.8741951175628422
2016-03-31,0.8664494314612406
2016-04-01,0.8699227295914864
2016-04-05,0.8658501118172856
2016-04-06,0.8665288814463189
2016-04-07,0.8661894966318022
2016-04-08,0.8719590384785868
2016-04-11,0.879161598766187
2016-04-12,0.881264823821697
2016-04-13,0.8734876250633806
2016-04-14,0.8663867044579615
2016-04-15,0.8660485653815129
2016-04-18,0.86672484353441
2016-04-19,0.8647745587831779
2016-04-20,0.8618563268497224
2016-04-21,0.8724915251130051
2016-04-22,0.8611916269582672
2016-04-25,0.8565387277180809
2016-04-26,0.8548769779894431
2016-04-27,0.861929942362701
2016-04-28,0.8555583850653634
2016-04-29,0.8555583850653634
2016-05-03,0.870840830851936
2016-05-04,0.8677843416946214
2016-05-05,0.8738973200092505
2016-05-06,0.8614127843972835
2016-05-09,0.8669163189860265
2016-05-10,0.8669163189860265
2016-05-11,0.8784402358341507
2016-05-12,0.8697972981980575
