start,end,annual,sharpe,dd,nd_annual,beat
2016-08-11,2019-09-17,14.38,0.87,21.27,16.14,False
2016-11-17,2019-12-20,13.57,0.82,21.27,18.75,False
2017-02-22,2020-03-27,14.43,0.8,21.27,8.59,True
2017-05-25,2020-07-02,21.83,1.15,21.27,18.07,True
2017-08-24,2020-09-29,25.21,1.13,21.27,20.94,True
2017-11-28,2021-01-05,44.72,1.66,21.27,22.89,True
2018-03-05,2021-04-12,40.51,1.5,21.27,23.66,True
2018-06-06,2021-07-14,39.6,1.44,21.27,23.99,True
2018-09-04,2021-10-20,30.86,1.07,24.83,23.21,True
2018-12-10,2022-01-18,34.65,1.2,28.53,27.41,True
2019-03-18,2022-04-26,48.4,1.42,28.53,17.45,True
2019-06-20,2022-07-28,42.66,1.28,28.53,14.76,True
2019-09-18,2022-11-02,34.49,1.08,28.53,8.79,True
2019-12-23,2023-02-07,36.64,1.12,28.53,10.65,True
2020-03-30,2023-05-11,33.96,1.03,28.53,16.64,True
2020-07-03,2023-08-10,18.46,0.61,28.86,10.42,True
2020-09-30,2023-11-15,14.35,0.51,33.53,8.1,True
2021-01-06,2024-02-21,0.15,0.06,33.53,6.95,False
2021-04-13,2024-05-27,6.66,0.28,33.53,6.54,True
2021-07-15,2024-08-23,6.61,0.28,33.53,7.13,False
2021-10-21,2024-11-29,15.88,0.6,33.53,8.11,True
2022-01-19,2025-03-07,13.04,0.51,33.53,8.27,True
2022-04-27,2025-06-11,-1.6,-0.07,26.48,16.26,False
2022-07-29,2025-09-08,6.18,0.27,26.48,20.75,False
2022-11-03,2025-12-12,12.86,0.52,26.48,30.94,False
2023-02-08,2026-03-23,12.56,0.5,26.48,22.63,False
2023-05-12,2026-06-25,32.3,1.13,26.48,27.37,True
