start,end,annual,sharpe,dd,nd_annual,beat
2015-01-05,2018-02-02,7.14,0.76,9.28,16.0,False
2015-04-10,2018-05-15,7.69,0.68,9.31,13.76,False
2015-07-10,2018-08-13,8.33,0.69,9.31,16.12,False
2015-10-16,2018-11-16,8.29,0.53,18.32,14.06,False
2016-01-14,2019-02-22,8.34,0.52,21.24,17.74,False
2016-04-20,2019-05-28,8.27,0.51,21.24,15.44,False
2016-07-21,2019-08-26,16.12,0.99,21.24,15.7,True
2016-10-27,2019-11-29,12.28,0.73,21.24,18.46,False
2017-01-25,2020-03-06,17.54,1.03,21.24,14.9,True
2017-05-04,2020-06-09,19.73,1.06,21.24,17.91,True
2017-08-03,2020-09-08,26.17,1.19,21.24,19.63,True
2017-11-07,2020-12-14,37.67,1.47,21.24,22.53,True
2018-02-05,2021-03-19,37.78,1.41,21.24,23.53,True
2018-05-16,2021-06-23,38.36,1.42,21.24,24.52,True
2018-08-14,2021-09-22,34.06,1.18,24.43,23.73,True
2018-11-19,2021-12-27,28.35,1.01,28.52,31.24,False
2019-02-25,2022-04-01,47.0,1.39,28.52,23.63,True
2019-05-29,2022-07-07,44.45,1.33,28.52,15.5,True
2019-08-27,2022-10-12,32.26,1.02,28.52,10.01,True
2019-12-02,2023-01-10,37.86,1.15,28.52,7.84,True
2020-03-09,2023-04-17,31.36,0.98,28.52,15.23,True
2020-06-10,2023-07-20,21.47,0.69,28.52,11.98,True
2020-09-09,2023-10-25,12.33,0.45,32.52,4.8,True
2020-12-15,2024-01-23,5.83,0.25,33.51,7.0,False
2021-03-22,2024-05-06,5.7,0.25,33.51,6.92,False
2021-06-24,2024-08-02,6.78,0.28,33.51,5.3,True
2021-09-23,2024-11-08,12.54,0.49,33.51,8.63,True
2021-12-28,2025-02-14,18.99,0.72,33.51,8.28,True
2022-04-06,2025-05-20,-0.8,-0.04,26.46,11.3,False
2022-07-08,2025-08-18,3.61,0.16,26.46,22.99,False
2022-10-13,2025-11-21,11.62,0.48,26.46,27.93,False
2023-01-11,2026-03-02,16.64,0.65,26.46,27.71,False
2023-04-18,2026-06-03,29.22,1.02,26.46,30.29,False
