date,action,code,reason
2022-08-12,buy,588000,new
2022-08-19,sell,588000,switch
2022-08-19,buy,161128,new
2022-08-26,sell,161128,switch
2022-08-26,buy,162415,new
2022-09-02,sell,162415,switch
2022-09-02,buy,515450,new
2022-09-09,sell,515450,switch
2022-09-09,buy,162411,new
2022-10-27,sell,162411,switch
2022-10-27,buy,588000,new
2022-11-04,sell,588000,switch
2022-11-04,buy,161128,new
2022-11-11,sell,161128,switch
2022-11-11,buy,588000,new
2022-11-18,sell,588000,switch
2022-11-18,buy,161128,new
2022-11-25,sell,161128,switch
2022-11-25,buy,515450,new
2022-12-02,sell,515450,switch
2022-12-02,buy,161128,new
2022-12-13,sell,161128,switch
2022-12-13,buy,515450,new
2023-01-17,sell,515450,switch
2023-01-17,buy,588000,new
2023-02-01,sell,588000,switch
2023-02-01,buy,162415,new
2023-02-08,sell,162415,switch
2023-02-08,buy,513100,new
2023-02-15,sell,513100,switch
2023-02-15,buy,161128,new
2023-02-22,sell,161128,switch
2023-02-22,buy,162415,new
2023-03-01,sell,162415,switch
2023-03-01,buy,161128,new
2023-03-08,sell,161128,switch
2023-03-08,buy,515450,new
2023-03-28,sell,515450,switch
2023-03-28,buy,161128,new
2023-04-12,sell,161128,switch
2023-04-12,buy,513100,new
2023-04-19,sell,513100,switch
2023-04-19,buy,515450,new
2023-05-09,sell,515450,switch
2023-05-09,buy,513100,new
2023-05-16,sell,513100,switch
2023-05-16,buy,161128,new
2023-05-24,sell,161128,switch
2023-05-24,buy,513100,new
2023-05-31,sell,513100,switch
2023-05-31,buy,162415,new
2023-06-08,sell,162415,switch
2023-06-08,buy,162411,new
2023-06-16,sell,162411,switch
2023-06-16,buy,162415,new
2023-06-27,sell,162415,switch
2023-06-27,buy,513100,new
2023-07-04,sell,513100,switch
2023-07-04,buy,162411,new
2023-07-11,sell,162411,switch
2023-07-11,buy,513100,new
2023-07-18,sell,513100,switch
2023-07-18,buy,162415,new
2023-07-25,sell,162415,switch
2023-07-25,buy,161128,new
2023-08-01,sell,161128,switch
2023-08-01,buy,162411,new
2023-08-08,sell,162411,switch
2023-08-08,buy,515450,new
2023-08-17,sell,515450,switch
2023-08-17,buy,162411,new
2023-09-04,sell,162411,switch
2023-09-04,buy,161128,new
2023-09-12,sell,161128,switch
2023-09-12,buy,162411,new
2023-09-19,sell,162411,switch
2023-09-19,buy,162415,new
2023-09-26,sell,162415,switch
2023-09-26,buy,515450,new
2023-11-06,sell,515450,switch
2023-11-06,buy,162411,new
2023-11-13,sell,162411,switch
2023-11-13,buy,161128,new
2023-11-20,sell,161128,switch
2023-11-20,buy,162415,new
2023-11-27,sell,162415,switch
2023-11-27,buy,513100,new
2023-12-04,sell,513100,switch
2023-12-04,buy,161128,new
2023-12-11,sell,161128,switch
2023-12-11,buy,162415,new
2024-01-02,sell,162415,switch
2024-01-02,buy,513100,new
2024-01-11,sell,513100,switch
2024-01-11,buy,162411,new
2024-01-18,sell,162411,switch
2024-01-18,buy,515450,new
2024-01-25,sell,515450,switch
2024-01-25,buy,513100,new
2024-02-07,sell,513100,switch
2024-02-07,buy,161128,new
2024-02-26,sell,161128,switch
2024-02-26,buy,162411,new
2024-03-04,sell,162411,switch
2024-03-04,buy,588000,new
2024-03-11,sell,588000,switch
2024-03-11,buy,515450,new
2024-03-18,sell,515450,switch
2024-03-18,buy,162411,new
2024-04-02,sell,162411,switch
2024-04-02,buy,161128,new
2024-04-12,sell,161128,switch
2024-04-12,buy,515450,new
2024-05-17,sell,515450,switch
2024-05-17,buy,161128,new
2024-05-24,sell,161128,switch
2024-05-24,buy,513100,new
2024-06-25,sell,513100,switch
2024-06-25,buy,161128,new
2024-07-02,sell,161128,switch
2024-07-02,buy,513100,new
2024-07-09,sell,513100,switch
2024-07-09,buy,162415,new
2024-07-23,sell,162415,switch
2024-07-23,buy,588000,new
2024-08-19,sell,588000,switch
2024-08-19,buy,161128,new
2024-09-02,sell,161128,switch
2024-09-02,buy,162415,new
2024-09-27,sell,162415,switch
2024-09-27,buy,515450,new
2024-10-11,sell,515450,switch
2024-10-11,buy,162415,new
2024-10-18,sell,162415,switch
2024-10-18,buy,161128,new
2024-10-29,sell,161128,switch
2024-10-29,buy,515450,new
2024-11-05,sell,515450,switch
2024-11-05,buy,162415,new
2024-11-13,sell,162415,switch
2024-11-13,buy,162411,new
2024-11-25,sell,162411,switch
2024-11-25,buy,162415,new
2024-12-02,sell,162415,switch
2024-12-02,buy,513100,new
2024-12-09,sell,513100,switch
2024-12-09,buy,162415,new
2024-12-16,sell,162415,switch
2024-12-16,buy,513100,new
2024-12-23,sell,513100,switch
2024-12-23,buy,515450,new
2024-12-30,sell,515450,switch
2024-12-30,buy,513100,new
2025-01-07,sell,513100,switch
2025-01-07,buy,161128,new
2025-01-14,sell,161128,switch
2025-01-14,buy,162411,new
2025-02-07,sell,162411,switch
2025-02-07,buy,588000,new
2025-03-25,sell,588000,switch
2025-03-25,buy,515450,new
2025-04-29,sell,515450,switch
2025-04-29,buy,162415,new
2025-05-09,sell,162415,switch
2025-05-09,buy,588000,new
2025-05-16,sell,588000,switch
2025-05-16,buy,515450,new
2025-05-23,sell,515450,switch
2025-05-23,buy,162411,new
2025-05-30,sell,162411,switch
2025-05-30,buy,513100,new
2025-06-09,sell,513100,switch
2025-06-09,buy,161128,new
2025-06-16,sell,161128,switch
2025-06-16,buy,162411,new
2025-06-23,sell,162411,switch
2025-06-23,buy,161128,new
2025-07-21,sell,161128,switch
2025-07-21,buy,513100,new
2025-07-28,sell,513100,switch
2025-07-28,buy,588000,new
2025-08-11,sell,588000,switch
2025-08-11,buy,161128,new
2025-08-18,sell,161128,switch
2025-08-18,buy,588000,new
2025-08-26,sell,588000,switch
2025-08-26,buy,162415,new
2025-09-03,sell,162415,switch
2025-09-03,buy,162411,new
2025-09-10,sell,162411,switch
2025-09-10,buy,162415,new
2025-09-18,sell,162415,switch
2025-09-18,buy,162411,new
2025-09-25,sell,162411,switch
2025-09-25,buy,161128,new
2025-10-10,sell,161128,switch
2025-10-10,buy,162415,new
2025-10-17,sell,162415,switch
2025-10-17,buy,161128,new
2025-10-24,sell,161128,switch
2025-10-24,buy,513100,new
2025-10-31,sell,513100,switch
2025-10-31,buy,515450,new
2025-11-07,sell,515450,switch
2025-11-07,buy,513100,new
2025-11-14,sell,513100,switch
2025-11-14,buy,161128,new
2025-11-28,sell,161128,switch
2025-11-28,buy,162411,new
2025-12-15,sell,162411,switch
2025-12-15,buy,162415,new
2025-12-25,sell,162415,switch
2025-12-25,buy,588000,new
2026-01-23,sell,588000,switch
2026-01-23,buy,162411,new
2026-02-02,sell,162411,switch
2026-02-02,buy,588000,new
2026-02-09,sell,588000,switch
2026-02-09,buy,162411,new
2026-03-04,sell,162411,switch
2026-03-04,buy,515450,new
2026-03-19,sell,515450,switch
2026-03-19,buy,162411,new
2026-04-13,sell,162411,switch
2026-04-13,buy,513100,new
2026-04-20,sell,513100,switch
2026-04-20,buy,161128,new
2026-04-27,sell,161128,switch
2026-04-27,buy,162415,new
2026-05-18,sell,162415,switch
2026-05-18,buy,162411,new
2026-05-25,sell,162411,switch
2026-05-25,buy,161128,new
2026-06-01,sell,161128,switch
2026-06-01,buy,162415,new
2026-06-08,sell,162415,switch
2026-06-08,buy,161128,new
2026-06-17,sell,161128,switch
2026-06-17,buy,162415,new
2026-06-25,sell,162415,switch
2026-06-25,buy,588000,new
2026-07-07,sell,588000,switch
2026-07-07,buy,513100,new
2026-07-15,sell,513100,switch
2026-07-15,buy,162411,new
2026-07-22,sell,162411,switch
2026-07-22,buy,515450,new
2026-07-29,sell,515450,switch
2026-07-29,buy,162411,new
